"","Plot","Rep","Depth","Year","Season","Cropping.system","Cover","GMC","BD","MBC","pH","AG","BG","CB","LAP","NAG","PHOS","XYL","sep","asep","bac_richness","bac_shannon.div","bac_simpson.div","bac_invsimpson.div","bac_evenness","fun_richness","fun_shannon.div","fun_simpson.div","fun_invsimpson.div","fun_evenness","amf_relabund","amf_richness","amf_shannon.div","amf_simpson.div","amf_invsimpson.div","amf_evenness","plantpath_relabund","plantpath_richness","plantpath_shannon.div","plantpath_simpson.div","plantpath_invsimpson.div","plantpath_evenness","sap_relabund","sap_richness","sap_shannon.div","sap_simpson.div","sap_invsimpson.div","sap_evenness","orgC","totN","POC","MAOC","sandC","POM","MAOM","sandM","POMc","MAOMc","sandc","poxc","noN","nhN","inorgN","P","K","Ca","Mg","Mn","Zn","Al","B","Cu","Fe","Na","Ni","Si","WEC","WEN","WAS","MWD4","MWD5","CCpc","CCc","CCn","CCcn","Wc","Wn","Wcn","inputC","inputN","Weeds","Wheat","Clover","Radish","Vetch","Grass","Yield","Yield.crop","tissue.N.percent","tissue.P.percent","tissue.K.percent","tissue.Ca.percent","tissue.Mg.percent","tissue.S.percent","tissue.B.ppm","tissue.Cu.ppm","tissue.Fe.ppm","tissue.Mn.ppm","tissue.Zn.ppm","tissue.Na.ppm","Notes"
"1",101,"1","0-10 cm",2020,"Fall","Corn-Corn-Corn","No cover",0.209302326,1.420118002,26.8511,6.67,7.596274,134.026802,54.063896,33.506649,35.381052,283.372654,19.939663,1.514528055,5.335269284,1754,7.134357485,0.998783179,821.8135029,0.955112154,434,4.720174395,0.976780234,43.06675626,0.777233621,0.003,377,4.639249566,0.97614344,41.91719175,0.782039417,0.2964,348,4.588226603,0.97543144,40.70242619,0.784017063,0.5574,421,4.72444459,0.976448413,42.45998285,0.781852004,9.03,0.93,1.4025648,7.6274352,NA,0.73,84.9,13.44,19.27,80.73,NA,NA,5.7325,1.83345,7.56595,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,57.99104018,9.609207379,52.42488139,3.664604418,3.553409639,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high bg, high cb, high phos, high xyl, high Ni,"
"2",101,"1","10-20 cm",2020,"Fall","Corn-Corn-Corn","No cover",0.159090909,1.428111185,90.871,6.825,3.178607,41.531759,9.222533,14.78424,16.591259,236.372642,7.543101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54,0.53,0.4616768,4.0783232,NA,0.5,87.27,13.51,9.31,90.69,NA,NA,2.82278,0.918936,3.741716,12.1275,52.9887,855.008,42.9853,21.5624,1.5998,111.39,0.1475,0.3646,11.4843,4.4305,0.4743,29.2624,29.35849828,5.518121926,23.43295424,3.863497727,3.789065909,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"3",101,"1","20-30 cm",2020,"Fall","Corn-Corn-Corn","No cover",0.2,1.438199783,NA,6.4,1.546274,22.698917,5.069942,5.285595,10.274473,190.604241,6.715344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19,0.45,0.1843296,4.0056704,NA,0.22,92.43,7.1,8.23,91.77,NA,NA,2.535659,0.561555,3.097214,15.433,49.1003,1135.39,78.8738,11.5088,2.6342,125.476,0.1198,0.4822,13.9186,6.7753,0.4004,57.916,36.57748747,3.989393604,19.19734151,3.659796031,3.586477398,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"4",102,"1","0-10 cm",2020,"Fall","Corn-Corn-Corn","Wheat",0.214285714,1.49866797,88.2454,6.66,6.588369,104.174653,37.319336,24.292731,36.003451,283.181246,18.463361,1.72623598,6.75803022,1652,6.99671601,0.998330845,599.1056997,0.944259065,447,4.918616239,0.983907799,62.14190235,0.805992464,0.0054,394,4.813265071,0.98270248,57.81175567,0.805385283,0.2434,385,4.795372192,0.98213464,55.97424289,0.805505826,0.6154,459,4.934261855,0.983794124,61.70601503,0.805061418,9.93,0.94,1.4025648,8.5274352,NA,0.73,84.9,13.44,19.27,80.73,NA,NA,5.965986,1.272899,7.238885,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,58.21359091,11.40720035,51.7369398,3.645395105,3.82022028,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high cb, high phos, high xyl, high Ni,"
"5",102,"1","10-20 cm",2020,"Fall","Corn-Corn-Corn","Wheat",0.219512195,1.381217432,16.2917,6.74,3.349591,62.370899,17.93822,14.699267,21.611749,248.92969,10.527872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,0.61,0.4616768,5.0983232,NA,0.5,87.27,13.51,9.31,90.69,NA,NA,3.133429,0.640637,3.774066,12.1275,52.9887,855.008,42.9853,21.5624,1.5998,111.39,0.1475,0.3646,11.4843,4.4305,0.4743,29.2624,36.91826827,4.797187547,24.78858351,4.030717314,3.768570671,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high phos,"
"6",102,"1","20-30 cm",2020,"Fall","Corn-Corn-Corn","Wheat",0.170731707,1.434280099,NA,6.57,2.42018,33.091584,6.238255,5.680425,12.360449,212.690698,6.913212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,0.42,0.1843296,2.9356704,NA,0.22,92.43,7.1,8.23,91.77,NA,NA,3.566109,0.843915,4.410024,15.433,49.1003,1135.39,78.8738,11.5088,2.6342,125.476,0.1198,0.4822,13.9186,6.7753,0.4004,57.916,43.94948028,2.356433806,26.18498591,3.576328688,3.504174216,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"7",103,"1","0-10 cm",2020,"Fall","Corn-Corn-Corn","SHM",0.209302326,1.343747806,78.4452,6.63,7.273044,122.758286,45.23008,26.656685,46.320769,263.530581,21.629994,1.376325345,7.207598518,1255,6.751413484,0.998088743,523.2159555,0.946253226,525,5.008197676,0.982619983,57.53734363,0.799597513,0.0154,423,4.861382198,0.98169504,54.63000192,0.803883415,0.2314,414,4.844142505,0.9802888,50.73257843,0.803891511,0.5754,512,5.023604362,0.983343878,60.03798399,0.805281011,9.18,0.94,1.4025648,7.7774352,NA,0.73,84.9,13.44,19.27,80.73,NA,NA,6.74668,1.414065,8.160745,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,60.48778114,7.906759929,52.69588313,3.453754886,3.369267915,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high bg, high cb, high nag, high phos, high xyl, high Ni,"
"8",103,"1","10-20 cm",2020,"Fall","Corn-Corn-Corn","SHM",0.175,1.382116512,224.7259,6.685,3.302526,61.601426,15.319181,17.674142,18.702667,244.221541,10.961279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03,0.58,0.4616768,4.5683232,NA,0.5,87.27,13.51,9.31,90.69,NA,NA,4.092553,0.942816,5.035369,12.1275,52.9887,855.008,42.9853,21.5624,1.5998,111.39,0.1475,0.3646,11.4843,4.4305,0.4743,29.2624,46.30712704,6.01322144,18.03106081,3.435660377,3.309571843,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high phos,"
"9",103,"1","20-30 cm",2020,"Fall","Corn-Corn-Corn","SHM",0.228571429,1.394719324,NA,6.6,4.67139,37.647426,7.561079,7.11462,15.734388,250.51754,9.076268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0.44,0.1843296,2.9156704,NA,0.22,92.43,7.1,8.23,91.77,NA,NA,2.663798,0.719068,3.382866,15.433,49.1003,1135.39,78.8738,11.5088,2.6342,125.476,0.1198,0.4822,13.9186,6.7753,0.4004,57.916,39.99920489,6.58649456,33.10291859,4.168034404,4.27153211,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high phos,"
"10",104,"1","0-10 cm",2020,"Fall","Corn-Corn-Corn","Wheat-Clover",0.215686275,1.374925294,27.0421,6.47,7.560562,102.222626,42.315627,41.52317,46.945494,246.899753,23.090284,0.867235561,4.752450872,1214,6.765091606,0.998350803,606.3558616,0.952604939,378,4.119813083,0.952387435,21.00285921,0.694167907,0.0172,319,3.950526922,0.94813456,19.28066165,0.685237809,0.1544,303,3.875480041,0.94416184,17.90889958,0.678274636,0.6042,381,4.086934188,0.949753971,19.90207036,0.687711957,9,0.95,1.4025648,7.5974352,NA,0.73,84.9,13.44,19.27,80.73,NA,NA,6.602934,1.509265,8.112199,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,69.56367796,6.473577128,63.68670886,3.26686115,3.121875175,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high nag, high phos, high xyl, low fun_evenness, high Ni,"
