"","original.name","new.name","plot","season.year","season","year","Time","Year","Season","Season.Year","Cropping.system","Cover","Replicate","richness","shannon.div","simpson.div","invsimpson.div","evenness"
"101_Fall_2020","X101.ITS_2020.09","101_Fall_2020","101","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","No cover","1",348,4.58822660306668,0.97543144,40.7024261902204,0.784017063477185
"102_Fall_2020","X102.ITS_2020.09","102_Fall_2020","102","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","Wheat","1",385,4.7953721915846,0.98213464,55.9742428923908,0.805505826372927
"103_Fall_2020","X103.ITS_2020.09","103_Fall_2020","103","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","SHM","1",414,4.84414250478259,0.9802888,50.7325784325664,0.803891511332015
"104_Fall_2020","X104.ITS_2020.09","104_Fall_2020","104","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","Wheat-Clover","1",303,3.87548004143024,0.94416184,17.9088995769202,0.678274636450164
"105_Fall_2020","X105.ITS_2020.09","105_Fall_2020","105","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","Clover","1",390,4.40679689267613,0.96559008,29.0613869488799,0.73863367519576
"106_Fall_2020","X106.ITS_2020.09","106_Fall_2020","106","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Wheat","1",450,4.95566122385736,0.98388568,62.0566055533215,0.811173742219657
"107_Fall_2020","X107.ITS_2020.09","107_Fall_2020","107","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","SHM","1",400,4.93992500424863,0.98613872,72.1434095552503,0.824493738619063
"108_Fall_2020","X108.ITS_2020.09","108_Fall_2020","108","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Clover","1",417,4.72703073574073,0.97153984,35.1368368976141,0.783517848404184
"109_Fall_2020","X109.ITS_2020.09","109_Fall_2020","109","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","No cover","1",220,3.72421564493825,0.94385176,17.8099972501364,0.690484393468527
"110_Fall_2020","X110.ITS_2020.09","110_Fall_2020","110","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Wheat-Clover","1",324,4.04416348090927,0.92026832,12.5420660896647,0.699592270416613
"111_Fall_2020","X111.ITS_2020.09","111_Fall_2020","111","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","No cover","1",396,4.70626085347403,0.97179744,35.4577740460441,0.786814068923508
"112_Fall_2020","X112.ITS_2020.09","112_Fall_2020","112","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Wheat-Clover","1",413,4.73741223243385,0.97460728,39.3813659978136,0.786495135770745
"113_Fall_2020","X113.ITS_2020.09","113_Fall_2020","113","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","SHM","1",347,4.2866644290328,0.959044,24.4164469186444,0.732847737183051
"114_Fall_2020","X114.ITS_2020.09","114_Fall_2020","114","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Wheat","1",404,4.7035431217636,0.976672,42.8669410150893,0.783739037778626
"115_Fall_2020","X115.ITS_2020.09","115_Fall_2020","115","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Clover","1",331,3.90202784115417,0.9066168,10.7085642813696,0.6725177924176
"116_Fall_2020","X116.ITS_2020.09","116_Fall_2020","116","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","SHM","1",361,4.89166768985709,0.98249016,57.1107445870437,0.830662092926425
"117_Fall_2020","X117.ITS_2020.09","117_Fall_2020","117","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","No cover","1",398,4.64728021622889,0.97452728,39.2576842991248,0.776299586487386
"118_Fall_2020","X118.ITS_2020.09","118_Fall_2020","118","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","Wheat-Clover","1",429,4.92801575749599,0.98156232,54.2367586377463,0.813008460409468
"119_Fall_2020","X119.ITS_2020.09","119_Fall_2020","119","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","Clover","1",419,4.7983813081541,0.97419048,38.7453931727519,0.794714125524229
"120_Fall_2020","X120.ITS_2020.09","120_Fall_2020","120","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","Wheat","1",346,4.43733018610426,0.96308144,27.0866469331415,0.758980014472221
"201_Fall_2020","X201.ITS_2020.09","201_Fall_2020","201","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","No cover","2",364,4.61431250906438,0.97563448,41.041603052182,0.782464323067348
"202_Fall_2020","X202.ITS_2020.09","202_Fall_2020","202","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","SHM","2",363,4.21948514510959,0.94579952,18.4500211068242,0.7158460769904
"203_Fall_2020","X203.ITS_2020.09","203_Fall_2020","203","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Wheat","2",392,4.6531464385808,0.97385216,38.2440767573919,0.779256807593634
"204_Fall_2020","X204.ITS_2020.09","204_Fall_2020","204","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Clover","2",364,4.50664878006517,0.96126248,25.8147656329058,0.764207426365016
"205_Fall_2020","X205.ITS_2020.09","205_Fall_2020","205","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Wheat-Clover","2",368,4.53840030559381,0.97352696,37.7742790401103,0.768168008657031
"206_Fall_2020","X206.ITS_2020.09","206_Fall_2020","206","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","No cover","2",429,4.83784910450982,0.9775256,44.4950699462501,0.798133051049615
"207_Fall_2020","X207.ITS_2020.09","207_Fall_2020","207","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Wheat","2",331,4.42178804464912,0.97112,34.6260387811635,0.762098902258567
"208_Fall_2020","X208.ITS_2020.09","208_Fall_2020","208","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Clover","2",417,5.0758494252227,0.98781352,82.0581496871943,0.841335468882013
"209_Fall_2020","X209.ITS_2020.09","209_Fall_2020","209","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Wheat-Clover","2",335,4.86030143365834,0.98511928,67.2010494115876,0.835946390789524
"210_Fall_2020","X210.ITS_2020.09","210_Fall_2020","210","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","SHM","2",375,4.71168199400856,0.97976032,49.4078957770084,0.794962173201262
"211_Fall_2020","X211.ITS_2020.09","211_Fall_2020","211","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","Clover","2",314,4.51908296585466,0.97250344,36.3681856930468,0.78601044961284
"212_Fall_2020","X212.ITS_2020.09","212_Fall_2020","212","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","No cover","2",339,4.18313683535171,0.9544512,21.9544752002248,0.718011801965547
"213_Fall_2020","X213.ITS_2020.09","213_Fall_2020","213","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","Wheat","2",366,4.60784106496149,0.9768604,43.2159587892618,0.780641589049246
"214_Fall_2020","X214.ITS_2020.09","214_Fall_2020","214","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","Wheat-Clover","2",352,3.88054117121128,0.88898328,9.0076521806805,0.661798304668346
"215_Fall_2020","X215.ITS_2020.09","215_Fall_2020","215","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Soybean-Corn","SHM","2",445,5.04365467358347,0.98585016,70.6721772118977,0.827089740171514
"216_Fall_2020","X216.ITS_2020.09","216_Fall_2020","216","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","No cover","2",399,4.55127249804013,0.966134,29.5281403177228,0.759943532981326
"217_Fall_2020","X217.ITS_2020.09","217_Fall_2020","217","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","Wheat","2",280,3.83211879750624,0.91816904,12.2203136807878,0.680081967097918
