"","original.name","new.name","plot","season.year","season","year","Time","Year","Season","Season.Year","Cropping.system","Cover","Replicate","richness","shannon.div","simpson.div","invsimpson.div","evenness"
"101_Fall_2020","X101.ITS_2020.09","101_Fall_2020","101","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","No cover","1",421,4.72444459003333,0.976448412533069,42.4599828527102,0.781852003930918
"102_Fall_2020","X102.ITS_2020.09","102_Fall_2020","102","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","Wheat","1",459,4.93426185519296,0.983794124454785,61.7060150320151,0.805061418340741
"103_Fall_2020","X103.ITS_2020.09","103_Fall_2020","103","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","SHM","1",512,5.02360436217838,0.983343877767193,60.0379839930784,0.805281011189212
"104_Fall_2020","X104.ITS_2020.09","104_Fall_2020","104","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","Wheat-Clover","1",381,4.08693418808365,0.949753971216337,19.9020703567552,0.687711956959091
"105_Fall_2020","X105.ITS_2020.09","105_Fall_2020","105","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Corn-Corn","Clover","1",453,4.51603123505391,0.968619434618546,31.8668573317354,0.738409236526099
"106_Fall_2020","X106.ITS_2020.09","106_Fall_2020","106","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Wheat","1",556,5.11564051755398,0.985558609146279,69.2454078785856,0.809338403087359
"107_Fall_2020","X107.ITS_2020.09","107_Fall_2020","107","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","SHM","1",463,5.013726526583,0.986394351829912,73.4988871899925,0.81687023264501
"108_Fall_2020","X108.ITS_2020.09","108_Fall_2020","108","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Clover","1",481,4.82200317531132,0.972202581711732,35.9745638832247,0.780781542804876
"109_Fall_2020","X109.ITS_2020.09","109_Fall_2020","109","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","No cover","1",248,3.82939943017294,0.946546876020982,18.7079804801031,0.694558614335333
"110_Fall_2020","X110.ITS_2020.09","110_Fall_2020","110","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Corn-Cotton-Soybean","Wheat-Clover","1",392,4.24597641316728,0.932146609571855,14.7376570822791,0.711068535778071
"111_Fall_2020","X111.ITS_2020.09","111_Fall_2020","111","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","No cover","1",468,4.78523037964155,0.972875024359484,36.866392554702,0.778280077140312
"112_Fall_2020","X112.ITS_2020.09","112_Fall_2020","112","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Wheat-Clover","1",498,4.89616234001623,0.978017909404838,45.4915785043711,0.788355759394164
"113_Fall_2020","X113.ITS_2020.09","113_Fall_2020","113","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","SHM","1",423,4.44979508603174,0.962448822148191,26.6303231271831,0.735822925112823
"114_Fall_2020","X114.ITS_2020.09","114_Fall_2020","114","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Wheat","1",484,4.93650204654054,0.981827976392323,55.0296445563458,0.798517348277956
"115_Fall_2020","X115.ITS_2020.09","115_Fall_2020","115","Fall_2020","Fall","2020","Fall 2020","2020","Fall","Fall 2020","Soybean-Soybean-Soybean","Clover","1",402,4.14866565440187,0.920698240791078,12.6100607347875,0.691853381481333
