"","X","Plot","Rep","Depth","Year","Season","Cropping.system","Cover","GMC","BD","MBC","pH","AG","BG","CB","LAP","NAG","PHOS","XYL","sep","asep","bac_richness","bac_shannon.div","bac_simpson.div","bac_invsimpson.div","bac_evenness","fun_richness","fun_shannon.div","fun_simpson.div","fun_invsimpson.div","fun_evenness","amf_relabund","amf_richness","amf_shannon.div","amf_simpson.div","amf_invsimpson.div","amf_evenness","plantpath_relabund","plantpath_richness","plantpath_shannon.div","plantpath_simpson.div","plantpath_invsimpson.div","plantpath_evenness","sap_relabund","sap_richness","sap_shannon.div","sap_simpson.div","sap_invsimpson.div","sap_evenness","orgC","totN","POC","MAOC","sandC","POM","MAOM","sandM","POMc","MAOMc","sandc","poxc","noN","nhN","inorgN","P","K","Ca","Mg","Mn","Zn","Al","B","Cu","Fe","Na","Ni","Si","WEC","WEN","WAS","MWD4","MWD5","CCpc","CCc","CCn","CCcn","Wc","Wn","Wcn","inputC","inputN","Weeds","Wheat","Clover","Radish","Vetch","Grass","Yield","Yield.crop","tissue.N.percent","tissue.P.percent","tissue.K.percent","tissue.Ca.percent","tissue.Mg.percent","tissue.S.percent","tissue.B.ppm","tissue.Cu.ppm","tissue.Fe.ppm","tissue.Mn.ppm","tissue.Zn.ppm","tissue.Na.ppm","Notes","season.year","new.name"
"1",1,101,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","No cover",0.209302326,1.420118002,26.8511,6.67,7.596274,134.026802,54.063896,33.506649,35.381052,283.372654,19.939663,1.514528055,5.335269284,3078,7.5393501,0.999072721,1078.423693,0.938659979,434,4.72017439506939,0.976780234065068,43.0667562628435,0.777233621220033,0.003,19,2.751387064,0.921715952,12.77399447,0.934435077,0.2964,105,3.392686316,0.943701016,17.76230992,0.728989089,0.5574,57,2.494756933,0.792557498,4.820612898,0.617048058,9.03,0.93,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,5.7325,1.83345,7.56595,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,57.99104018,9.609207379,52.42488139,3.664604418,3.553409639,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high bg, high cb, high phos, high xyl, high invsimpson_bac, high Ni,","Fall 2020","101_Fall_2020"
"4",4,102,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","Wheat",0.214285714,1.49866797,88.2454,6.66,6.588369,104.174653,37.319336,24.292731,36.003451,283.181246,18.463361,1.72623598,6.75803022,3214,7.448422023,0.99861996,724.616864,0.922374186,447,4.91861623912359,0.983907798728378,62.1419023489018,0.805992464122345,0.0054,32,3.187842946,0.950497453,20.20098074,0.919817042,0.2434,83,2.972356868,0.886858889,8.838520232,0.672655371,0.6154,49,2.484005691,0.82703774,5.781608089,0.638263204,9.93,0.94,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,5.965986,1.272899,7.238885,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,58.21359091,11.40720035,51.7369398,3.645395105,3.82022028,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high cb, high phos, high xyl, low bac_evenness, high Ni,","Fall 2020","102_Fall_2020"
"7",7,103,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","SHM",0.209302326,1.343747806,78.4452,6.63,7.273044,122.758286,45.23008,26.656685,46.320769,263.530581,21.629994,1.376325345,7.207598518,1765,7.020866413,0.998457272,648.2025643,0.93913252,525,5.00819767586807,0.982619983180277,57.5373436270317,0.799597513346663,0.0154,50,3.757641375,0.973785759,38.14720429,0.960536625,0.2314,84,3.083516464,0.909645767,11.0675501,0.695925064,0.5754,59,2.77807611,0.883812438,8.606773246,0.681312226,9.18,0.94,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,6.74668,1.414065,8.160745,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,60.48778114,7.906759929,52.69588313,3.453754886,3.369267915,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high bg, high cb, high nag, high phos, high xyl, high Ni,","Fall 2020","103_Fall_2020"
"10",10,104,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","Wheat-Clover",0.215686275,1.374925294,27.0421,6.47,7.560562,102.222626,42.315627,41.52317,46.945494,246.899753,23.090284,0.867235561,4.752450872,1740,7.057903431,0.998726496,785.2350631,0.945891662,378,4.11981308301262,0.952387434964727,21.0028592086809,0.694167907163933,0.0172,55,3.58851688,0.961299163,25.83923459,0.895487526,0.1544,55,2.13980033,0.767004948,4.291936629,0.533971155,0.6042,52,2.555335282,0.815277007,5.413511243,0.646716696,9,0.95,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,6.602934,1.509265,8.112199,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,69.56367796,6.473577128,63.68670886,3.26686115,3.121875175,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high nag, high phos, high xyl, low fun_evenness, high Ni,","Fall 2020","104_Fall_2020"
"13",13,105,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","Clover",0.2,1.301116103,205.7392,6.345,4.087133,60.595654,22.183368,27.536082,16.808933,142.786229,8.724011,1.761083503,7.295917371,1013,6.568777076,0.998050945,513.0692668,0.949153138,476,4.53410228103084,0.968480845209402,31.726739077988,0.735408757075405,0.0118,50,3.696110762,0.970619468,34.03614333,0.944808033,0.1534,67,2.606149997,0.860841349,7.186042652,0.619819386,0.6242,70,2.487018591,0.836619957,6.120698613,0.585388108,9.64,1,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,13.627661,4.334572,17.962233,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,59.24713677,14.55934244,59.44166447,2.94858045,2.881538927,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high no-n, high inorg. n, high Ni,","Fall 2020","105_Fall_2020"
"16",16,106,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat",0.230769231,1.276798065,160.8193,6.415,2.792586,53.006481,23.016763,20.108208,22.985102,129.923267,9.219636,1.879963551,8.965980014,2093,7.185092899,0.998740289,793.8331862,0.939675715,555,5.09713435177755,0.984875312083393,66.1170667132907,0.806640302660987,0.016,57,3.766177652,0.972068013,35.80124803,0.931518648,0.1934,81,3.031040013,0.897831199,9.787723751,0.689742879,0.5128,77,3.14109758,0.912419145,11.41802048,0.723121152,8.98,0.94,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,12.939243,5.034862,17.974105,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,52.95304151,13.21239158,57.4832664,3.182820113,3.015681303,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high asept. hyph., high no-n, high nh-n, high inorg. n, high P, high Ni,","Fall 2020","106_Fall_2020"
"19",19,107,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","SHM",0.196969697,1.2341752,83.8766,6.455,4.782418,57.740861,23.332495,23.992509,21.617419,136.655978,8.895377,1.606810198,5.570275354,1040,6.60423637,0.998074331,519.3001315,0.95066348,475,5.03232950992424,0.986342022091808,73.217280531709,0.816497237270757,0.0176,44,3.438169038,0.957604302,23.58729894,0.908561507,0.197,68,2.810551455,0.882930811,8.54195715,0.666085158,0.5724,58,2.975202436,0.917031277,12.05273469,0.73272853,8.68,0.9,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,10.934496,1.765302,12.699798,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,52.06443498,10.98474208,52.21143474,3.435855159,3.437508598,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high no-n, high P, high Ni,","Fall 2020","107_Fall_2020"
"22",22,108,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Clover",0.238095238,1.397211996,113.1408,6.43,9.087612,73.448172,33.879482,34.561945,32.59329,150.312336,14.242697,2.354744044,7.027439257,1499,6.886726884,0.998400908,625.3548356,0.941767727,501,4.90503698664304,0.974635357909908,39.4249600072466,0.789021679495997,0.0154,44,3.331654146,0.946090187,18.54949859,0.880414162,0.2248,70,2.901017413,0.903807122,10.39578,0.682834097,0.688,70,2.930185126,0.878087729,8.202619747,0.689699519,11.3,1.14,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,8.002318,1.881197,9.883515,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,79.44070912,11.77358087,66.0704607,3.125498391,3.064071352,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high xyl, high P, high Ni,","Fall 2020","108_Fall_2020"
"25",25,109,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","No cover",0.191489362,1.445589262,32.055,6.51,2.50148,70.888559,23.117693,155.658206,22.25314,127.882022,7.682935,2.089551056,6.61120252,1792,6.959891994,0.99830943,591.5165686,0.929089656,255,3.86505685372105,0.94895786144271,19.5916556058401,0.697504607428042,0.0014,12,2.273568795,0.875709669,8.045678145,0.914951391,0.3708,78,2.718379581,0.874792852,7.986764447,0.62395255,0.8192,31,2.467670143,0.83810506,6.176845301,0.71860202,8.74,0.9,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,10.456498,1.349072,11.80557,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,58.64805805,10.83887297,58.41741901,3.43623103,3.367125339,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, low fun_evenness, high pathogen_relabund, high no-n, high P, high Ni,","Fall 2020","109_Fall_2020"
"28",28,110,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat-Clover",0.204545455,1.359288491,163.3431,6.625,2.430079,71.267753,28.254999,197.575661,21.109352,145.066845,14.010711,2.200407626,6.203927056,1516,6.890309388,0.998352801,607.0913545,0.940806771,396,4.19484822517344,0.926894893659537,13.6789350301035,0.701313782496541,0.0098,31,3.087848353,0.940405838,16.78016726,0.899202056,0.1596,54,2.639219841,0.873087261,7.87942967,0.661627074,0.5034,51,2.878131446,0.911366837,11.28245864,0.732008923,9.6,1,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,6.215067,3.377936,9.593003,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,68.51631626,22.7770173,63.3997344,3.183370429,3.10427663,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high P, high Ni,","Fall 2020","110_Fall_2020"
"31",31,111,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","No cover",0.18,1.333444628,104.9814,6.605,3.971795,69.206097,23.454784,407.212996,27.646059,147.583641,8.899007,1.815952153,8.221310655,2355,7.269154751,0.998824828,850.9392979,0.936228442,473,4.82580173058787,0.973748019246765,38.0923637496104,0.783524434384427,0.0048,20,2.718667184,0.918352788,12.24781563,0.907513401,0.2084,68,2.978103073,0.9106939,11.19744343,0.705793965,0.5488,59,2.986675234,0.908745338,10.95834425,0.732470339,10.32,1.02,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,5.883876,1.051657,6.935533,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,50.80416434,12.6155521,54.44563471,3.226277567,3.326562738,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high P, high Ni,","Fall 2020","111_Fall_2020"
"34",34,112,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","Wheat-Clover",0.186440678,1.304914413,177.6999,6.665,3.636039,81.267845,29.222914,307.962617,26.756254,180.084961,11.809211,1.0808666,3.422744234,3259,7.526107745,0.99895643,958.2495034,0.930392421,487,4.86317759627371,0.976692211502449,42.9041133655845,0.785871045505923,0.0124,54,3.74043335,0.971538154,35.13475567,0.937690727,0.259,80,2.703428522,0.870490172,7.721421713,0.616935666,0.6098,67,2.670143823,0.873520859,7.906442042,0.635039006,11.29,1.1,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,7.029341,1.541484,8.570825,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,68.43874283,12.26168762,51.6644474,3.254975385,3.289590769,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high P, high Ni,","Fall 2020","112_Fall_2020"
"37",37,113,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","SHM",0.191176471,1.388964924,136.6948,6.65,5.246863,76.092739,28.640061,22.587138,25.790008,177.15827,12.034135,1.575313232,6.235614876,1444,6.866411661,0.998476515,656.3899227,0.943814299,462,4.48919077436552,0.962822466816592,26.8979653670593,0.731667067997393,0.0094,43,3.446465588,0.959454913,24.66390065,0.916320717,0.1624,65,2.736253317,0.868943291,7.630284686,0.655486216,0.4816,54,2.635688986,0.871023948,7.753377371,0.660741922,10.62,1.09,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,6.432957,1.09058,7.523537,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,88.29508841,8.051422519,61.10667731,3.861212517,4.164685695,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high P, high Ni,","Fall 2020","113_Fall_2020"
